anime_id,source_id,source
10268,5,Visualnovel
10269,4,Game
10270,1,Original
10271,1,Original
10272,1,Original
10273,1,Original
10274,1,Original
10275,1,Original
10276,1,Original
10277,1,Original
10278,1,Original
10279,1,Original
10280,NULL,NULL
10281,NULL,NULL
10282,1,Original
10283,3,Lightnovel
10284,NULL,NULL
10285,8,Other
10286,NULL,NULL
10287,10,Webmanga
10288,10,Webmanga
10289,10,Webmanga
10290,10,Webmanga
10291,2,Manga
10292,2,Manga
10293,NULL,NULL
10294,NULL,NULL
10295,NULL,NULL
10296,NULL,NULL
10297,NULL,NULL
10298,NULL,NULL
10299,1,Original
10300,NULL,NULL
10301,NULL,NULL
10302,14,Cardgame
10303,NULL,NULL
10304,8,Other
10305,NULL,NULL
10306,NULL,NULL
10307,NULL,NULL
10308,NULL,NULL
10309,NULL,NULL
10310,NULL,NULL
10311,1,Original
10312,NULL,NULL
10313,NULL,NULL
10314,3,Lightnovel
10315,NULL,NULL
10316,NULL,NULL
10317,8,Other
10318,NULL,NULL
10319,NULL,NULL
10320,NULL,NULL
10321,1,Original
10322,1,Original
10323,8,Other
10324,NULL,NULL
10325,NULL,NULL
10326,1,Original
10327,1,Original
10328,1,Original
10329,1,Original
10330,1,Original
10331,NULL,NULL
10332,8,Other
10333,4,Game
10334,1,Original
10335,1,Original
10336,1,Original
10337,1,Original
10338,8,Other
10339,1,Original
10340,1,Original
10341,NULL,NULL
10342,4,Game
10343,NULL,NULL
10344,NULL,NULL
10345,NULL,NULL
10346,NULL,NULL
10347,NULL,NULL
10348,NULL,NULL
10349,NULL,NULL
10350,NULL,NULL
10351,3,Lightnovel
10352,1,Original
10353,NULL,NULL
10354,NULL,NULL
10355,NULL,NULL
10356,NULL,NULL
10357,NULL,NULL
10358,NULL,NULL
10359,NULL,NULL
10360,1,Original
10361,1,Original
10362,NULL,NULL
10363,8,Other
10364,2,Manga
10365,NULL,NULL
10366,NULL,NULL
10367,6,4-komamanga
10368,2,Manga
10369,NULL,NULL
10370,NULL,NULL
10371,5,Visualnovel
10372,NULL,NULL
10373,NULL,NULL
10374,2,Manga
10375,NULL,NULL
10376,NULL,NULL
10377,NULL,NULL
10378,NULL,NULL
10379,1,Original
10380,5,Visualnovel
10381,1,Original
10382,1,Original
10383,1,Original
10384,1,Original
10385,NULL,NULL
10386,NULL,NULL
10387,1,Original
10388,NULL,NULL
10389,NULL,NULL
10390,NULL,NULL
10391,NULL,NULL
10392,NULL,NULL
10393,11,Music
10394,1,Original
10395,11,Music
10396,1,Original
10397,1,Original
10398,1,Original
10399,NULL,NULL
10400,1,Original
10401,1,Original
10402,1,Original
10403,NULL,NULL
10404,1,Original
10405,NULL,NULL
10406,NULL,NULL
10407,7,Novel
10408,3,Lightnovel
10409,NULL,NULL
10410,2,Manga
10411,NULL,NULL
10412,1,Original
10413,1,Original
10414,1,Original
10415,1,Original
10416,8,Other
10417,2,Manga
10418,3,Lightnovel
10419,1,Original
10420,1,Original
10421,1,Original
10422,1,Original
10423,8,Other
10424,1,Original
10425,1,Original
10426,1,Original
10427,2,Manga
10428,NULL,NULL
10429,7,Novel
10430,NULL,NULL
10431,2,Manga
10432,4,Game
10433,11,Music
10434,NULL,NULL
10435,NULL,NULL
10436,2,Manga
10437,NULL,NULL
10438,5,Visualnovel
10439,5,Visualnovel
10440,NULL,NULL
10441,1,Original
10442,NULL,NULL
10443,10,Webmanga
10444,2,Manga
10445,4,Game
10446,2,Manga
10447,NULL,NULL
10448,NULL,NULL
10449,NULL,NULL
10450,NULL,NULL
10451,2,Manga
10452,10,Webmanga
10453,NULL,NULL
10454,2,Manga
10455,NULL,NULL
10456,1,Original
10457,1,Original
10458,1,Original
10459,NULL,NULL
10460,3,Lightnovel
10461,NULL,NULL
10462,3,Lightnovel
10463,2,Manga
10464,2,Manga
10465,1,Original
10466,2,Manga
10467,NULL,NULL
10468,9,Picturebook
10469,3,Lightnovel
10470,1,Original
10471,NULL,NULL
10472,NULL,NULL
10473,NULL,NULL
10474,NULL,NULL
10475,NULL,NULL
10476,NULL,NULL
10477,1,Original
10478,NULL,NULL
10479,NULL,NULL
10480,NULL,NULL
10481,1,Original
10482,1,Original
10483,1,Original
10484,1,Original
10485,1,Original
10486,NULL,NULL
10487,4,Game
10488,2,Manga
10489,2,Manga
10490,NULL,NULL
10491,6,4-komamanga
10492,NULL,NULL
10493,NULL,NULL
10494,NULL,NULL
10495,3,Lightnovel
10496,2,Manga
10497,3,Lightnovel
10498,1,Original
10499,2,Manga
10500,1,Original
10501,6,4-komamanga
10502,2,Manga
10503,2,Manga
10504,1,Original
10505,1,Original
10506,1,Original
10507,1,Original
10508,1,Original
10509,1,Original
10510,4,Game
10511,NULL,NULL
10512,NULL,NULL
10513,NULL,NULL
10514,NULL,NULL
10515,NULL,NULL
10516,11,Music
10517,NULL,NULL
10518,NULL,NULL
10519,NULL,NULL
10520,NULL,NULL
10521,NULL,NULL
10522,NULL,NULL
10523,11,Music
10524,1,Original
10525,1,Original
10526,NULL,NULL
10527,2,Manga
10528,1,Original
10529,10,Webmanga
10530,2,Manga
10531,3,Lightnovel
10532,1,Original
10533,NULL,NULL
10534,1,Original
10535,2,Manga
10536,NULL,NULL
10537,NULL,NULL
10538,11,Music
10539,11,Music
10540,NULL,NULL
10541,NULL,NULL
10542,NULL,NULL
10543,NULL,NULL
10544,NULL,NULL
10545,2,Manga
10546,1,Original
10547,NULL,NULL
10548,NULL,NULL
10549,NULL,NULL
10550,1,Original
10551,NULL,NULL
10552,NULL,NULL
10553,1,Original
10554,2,Manga
10555,2,Manga
10556,2,Manga
10557,5,Visualnovel
10558,4,Game
10559,11,Music
10560,2,Manga
10561,2,Manga
10562,NULL,NULL
10563,3,Lightnovel
10564,NULL,NULL
10565,1,Original
10566,1,Original
10567,1,Original
10568,NULL,NULL
10569,NULL,NULL
10570,5,Visualnovel
10571,5,Visualnovel
