anime_id,rating_id,rating,rating_description
4958,4,R+,"Mild Nudity"
4959,6,Rx,Hentai
4960,2,PG13,"Teens 13 or older"
4961,5,G,"All Ages"
4962,3,PG,Children
4963,5,G,"All Ages"
4964,5,G,"All Ages"
4965,5,G,"All Ages"
4966,2,PG13,"Teens 13 or older"
4967,2,PG13,"Teens 13 or older"
4968,2,PG13,"Teens 13 or older"
4969,5,G,"All Ages"
4970,2,PG13,"Teens 13 or older"
4971,2,PG13,"Teens 13 or older"
4972,5,G,"All Ages"
4973,2,PG13,"Teens 13 or older"
4974,3,PG,Children
4975,3,PG,Children
4976,2,PG13,"Teens 13 or older"
4977,5,G,"All Ages"
4978,2,PG13,"Teens 13 or older"
4979,2,PG13,"Teens 13 or older"
4980,1,R17+,"violence & profanity"
4981,6,Rx,Hentai
4982,5,G,"All Ages"
4983,2,PG13,"Teens 13 or older"
4984,2,PG13,"Teens 13 or older"
4985,2,PG13,"Teens 13 or older"
4986,2,PG13,"Teens 13 or older"
4987,4,R+,"Mild Nudity"
4988,2,PG13,"Teens 13 or older"
4989,5,G,"All Ages"
4990,2,PG13,"Teens 13 or older"
4991,3,PG,Children
4992,2,PG13,"Teens 13 or older"
