anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
11704,7,0,2,6,6,18,7,6,4,6
11705,33,15,28,64,42,26,6,6,3,11
11706,3565,3915,7047,6508,2998,1541,828,435,318,380
11707,3241,5325,10026,8980,3820,1757,586,251,111,88
11708,3694,7424,18855,19075,7322,2804,1019,363,187,128
11709,16526,15791,10683,4229,1460,643,255,97,64,504
11710,3,3,0,5,5,7,7,1,2,10
11711,130,115,209,422,396,186,49,17,14,22
11712,40,26,59,174,290,314,137,69,49,41
11713,187,100,160,303,324,180,104,52,63,80
11714,17,6,16,34,95,83,29,16,5,6
11715,341,151,336,408,240,124,36,22,22,21
11716,9,1,3,2,6,8,0,5,1,6
11717,127,115,231,581,778,1073,818,510,344,290
11718,4,0,7,3,8,14,8,14,18,17
11719,3,2,3,9,9,5,3,3,1,6
11720,3,0,7,4,5,4,10,4,6,4
11721,107,100,337,721,613,311,87,36,24,23
11722,93,26,48,127,191,371,314,194,149,146
11723,7,1,2,12,28,25,15,1,8,12
11724,4,0,0,6,3,5,4,2,3,6
11725,7,0,1,7,9,28,27,9,13,9
11726,269,124,259,384,446,369,301,204,178,280
11727,10,2,3,21,21,19,8,0,1,9
11728,273,281,693,1472,1218,554,174,65,35,25
11729,6,1,2,6,6,13,4,2,4,3
11730,5,0,0,7,1,0,1,0,0,2
11731,6,0,7,1,3,5,0,1,1,7
11732,3,0,7,1,5,2,0,0,0,4
11733,4,4,2,2,6,5,0,0,1,6
11734,3,0,6,1,3,1,1,1,1,4
11735,191,122,300,519,445,279,127,60,62,61
11736,1697,1618,3850,8757,7543,3585,969,412,224,198
11737,4,2,14,17,20,25,9,4,2,7
11738,76,25,43,119,125,93,25,17,7,12
11739,34,8,26,65,50,38,11,9,1,4
11740,33,9,23,58,50,35,11,10,4,4
11741,50,14,34,67,75,32,19,9,4,8
11742,32,10,31,61,59,35,6,5,4,5
11743,16,7,9,26,19,13,4,3,1,3
11744,36,7,23,49,57,33,9,7,3,6
11745,139,111,229,434,377,248,114,69,43,37
11746,5,2,5,5,9,15,4,1,2,5
11747,138,62,145,389,597,376,96,58,31,47
11748,143,75,141,335,479,267,88,39,26,37
11749,755,838,2176,2963,1138,368,64,17,15,19
11750,14843,22504,36032,19968,5347,1787,442,167,96,130
11751,9,0,2,13,29,48,31,7,11,6
11752,540,391,949,1985,2040,1097,454,248,143,124
11753,240,173,315,405,345,258,152,73,56,63
11754,105,46,86,134,325,418,127,63,46,49
11755,122,126,343,829,549,259,68,24,4,11
11756,4,0,2,1,3,5,4,3,5,4
11757,5,0,2,3,1,8,1,3,1,4
11758,6,0,0,5,5,9,11,9,11,13
11759,7,0,2,2,3,9,2,7,9,7
11760,281,272,613,1291,1001,398,120,43,16,26
11761,116,112,211,240,128,51,15,12,4,5
11762,248,146,362,807,1125,995,633,427,280,183
11763,45,39,125,219,155,81,24,16,6,8
11764,385,44,84,245,407,956,202,165,155,261
11765,3,3,0,1,5,5,3,1,0,7
11766,1569,2081,3333,2294,865,353,149,57,27,41
11767,1910,2941,7600,7481,2479,769,204,73,26,45
11768,11,18,31,73,88,60,10,6,11,4
11769,10,12,16,33,18,17,7,10,2,3
11770,10,1,8,13,15,11,4,5,2,2
11771,13,9,21,29,18,10,8,3,3,2
11772,12,1,5,15,10,11,0,2,0,4
11773,893,1264,3351,5583,3777,2025,1080,419,186,116
11774,6,1,5,6,3,7,3,1,0,2
11775,4,1,1,5,8,3,0,3,2,1
11776,245,282,699,1707,1953,1159,560,281,161,148
11777,2915,3787,7168,9711,6081,3396,1682,901,487,293
11778,415,789,2110,3217,1825,872,311,151,33,18
11779,77,80,238,560,511,357,152,77,45,16
11780,54109,104559,161886,96580,28881,10262,3265,1331,641,802
11781,56,32,85,165,163,66,24,12,7,8
11782,533,650,1439,1341,474,191,68,33,14,19
11783,5,2,1,14,21,31,9,9,5,4
11784,8,0,4,7,9,35,16,16,13,7
11785,11,1,4,11,24,44,22,17,12,10
11786,266,422,985,1393,716,331,147,66,23,12
11787,163,91,220,460,483,297,167,79,37,34
11788,15,2,12,29,26,54,39,49,60,137
11789,874,1812,2935,1617,533,184,78,21,23,22
11790,1467,1816,3973,7634,6879,4121,1478,647,353,277
11791,17,8,25,49,76,23,19,7,7,13
11792,13,9,14,45,53,24,11,9,5,12
11793,8,5,3,20,35,47,16,8,7,12
11794,523,430,770,949,511,294,113,61,31,50
11795,19,16,53,75,63,32,10,8,6,2
11796,3,0,0,4,3,8,7,0,3,6
11797,11,3,12,37,49,60,32,8,5,7
11798,6,0,2,8,3,7,3,0,0,3
11799,16,19,48,60,30,16,9,6,3,8
11800,10,2,7,7,16,5,4,0,1,6
11801,136,118,237,373,321,173,66,42,35,44
11802,2279,3053,5852,7097,3418,1570,357,169,86,70
11803,748,492,1004,2135,2082,1186,531,251,197,163
